,Latinsk navn,Norsk navn,Antall,Input,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,Artsgruppe,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_id
290,Chiloscyphus pallescens,bleikblonde,2,Chiloscyphus pallescens,184531,105161,Chiloscyphus pallescens,(Ehrh. ex Hoffm.) Dumort.,species,,,Moser,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Lophocoleaceae,Chiloscyphus,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Lophocoleaceae Chiloscyphus,bleikblonde,bleikblonde,,8300994
291,Chrysosplenium alternifolium,maigull,5,Chrysosplenium alternifolium,63592,103632,Chrysosplenium alternifolium,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Saxifragales,Saxifragaceae,Chrysosplenium,,,,Plantae Magnoliophyta Eudicots Saxifragales Saxifragaceae Chrysosplenium,maigull,maigull,,7339315
292,Chrysothrix chlorina,klippepulverlav,5,Chrysothrix chlorina,41695,65722,Chrysothrix chlorina,(Ach.) Laundon,species,,,Lav,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Chrysothricaceae,Chrysothrix,,,,Fungi Ascomycota Pezizomycotina Arthoniomycetes Arthoniales Chrysothricaceae Chrysothrix,klippepulverlav,,,5258341
293,Cicerbita alpina,turt,6,Cicerbita alpina,131813,100504,Cicerbita alpina,(L.) Wallr.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cicerbita,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Cicerbita,turt,turt,,3087634
294,Cinclidium latifolium,fagergittermose,2,Cinclidium latifolium,201258,104079,Cinclidium latifolium,Lindb.,species,,,Moser,Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Cinclidium,,,,Plantae Bryophyta Bryopsida Bryales Mniaceae Cinclidium,fagergittermose,fagergittermose,,5282708
295,Cinclidium stygium,myrgittermose,3,Cinclidium stygium,185153,104080,Cinclidium stygium,Sw.,species,,,Moser,Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Cinclidium,,,,Plantae Bryophyta Bryopsida Bryales Mniaceae Cinclidium,myrgittermose,myrgittermose,,5282711
296,Circaea ×intermedia,mellomtrollurt,3,Circaea ×intermedia,131836,102825,Circaea ×intermedia,Ehrh.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Myrtales,Onagraceae,Circaea,,,,Plantae Magnoliophyta Eudicots Myrtales Onagraceae Circaea,mellomtrollurt,mellomtrollurt,,8186928
297,Circaea alpina,trollurt,5,Circaea alpina,62784,102824,Circaea alpina,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Myrtales,Onagraceae,Circaea,,,,Plantae Magnoliophyta Eudicots Myrtales Onagraceae Circaea,trollurt,trollurt,,3188797
298,Circaea lutetiana,stortrollurt,2,Circaea lutetiana,62786,102826,Circaea lutetiana,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Myrtales,Onagraceae,Circaea,,,,Plantae Magnoliophyta Eudicots Myrtales Onagraceae Circaea,stortrollurt,stortrollurt,,3188794
299,Circinaria calcarea,(blank),1,Circinaria calcarea,161764,187233,Circinaria calcarea,(L) A.Nordin et al.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Circinaria,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Lecanoraceae Circinaria,,,,8934912
300,Cirriphyllum piliferum,lundveikmose,7,Cirriphyllum piliferum,185706,104558,Cirriphyllum piliferum,(Hedw.) Grout,species,,,Moser,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Cirriphyllum,,,,Plantae Bryophyta Bryopsida Hypnales Brachytheciaceae Cirriphyllum,lundveikmose,lundveikmose,,2679761
301,Cirsium arvense,åkertistel,5,Cirsium arvense,131842,100513,Cirsium arvense,(L.) Scop.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Cirsium,åkertistel,åkertistel,,3113414
302,Cirsium heterophyllum,hvitbladtistel,18,Cirsium heterophyllum,209245,100515,Cirsium heterophyllum,(L.) Hill,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Cirsium,hvitbladtistel,kvitbladtistel,,3113745
303,Cirsium oleraceum,kåltistel,1,Cirsium oleraceum,131847,100516,Cirsium oleraceum,(L.) Scop.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Cirsium,kåltistel,kåltistel,,3113650
304,Cirsium palustre,myrtistel,4,Cirsium palustre,60477,100517,Cirsium palustre,(L.) Scop.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Cirsium,myrtistel,myrtistel,,3113239
305,Cladonia,begerlav,21,Cladonia,44990,69017,Cladonia,,genus,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae,begerlavslekta,begerlavslekta,,2607519
306,Cladonia amaurocraea,begerpigglav,4,Cladonia amaurocraea,45000,69027,Cladonia amaurocraea,(Flörke) Schaerer,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,begerpigglav,,,7246667
307,Cladonia arbuscula,lys reinlav,38,Cladonia arbuscula,45006,69033,Cladonia arbuscula,(Wallr.) Flot.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,lys reinlav,,,2607648
308,Cladonia bellidiflora,blomsterlav,10,Cladonia bellidiflora,45017,69044,Cladonia bellidiflora,(Ach.) Schaerer,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,blomsterlav,,,2607724
309,Cladonia coccifera,grynrødbeger,3,Cladonia coccifera,105441,69075,Cladonia coccifera,(L.) Willd.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,grynrødbeger,,,7246653
310,Cladonia crispata,traktlav,2,Cladonia crispata,45061,69088,Cladonia crispata,(Ach.) Flotow,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,traktlav,,,6606832
311,Cladonia deformis,begerfausklav,1,Cladonia deformis,45069,69096,Cladonia deformis,(L.) Hoffm.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,begerfausklav,,,9075436
312,Cladonia ecmocyna,snøsyl,10,Cladonia ecmocyna,45081,69108,Cladonia ecmocyna,Leighton,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,snøsyl,,,2607643
313,Cladonia foliacea,flikskjell,1,Cladonia foliacea,45093,69120,Cladonia foliacea,(Hudson) Willd.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,flikskjell,,,2607590
314,Cladonia furcata,gaffellav,2,Cladonia furcata,45096,69123,Cladonia furcata,(Hudson) Schrader,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,gaffellav,,,7246646
315,Cladonia gracilis,syllav,9,Cladonia gracilis,104582,69131,Cladonia gracilis,(L.) Willd.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,syllav,,,2607596
316,Cladonia macrophylla,trevlelav,2,Cladonia macrophylla,45148,69175,Cladonia macrophylla,(Schaerer) Stenham.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,trevlelav,,,2607629
317,Cladonia macrophyllodes,krittskjell,5,Cladonia macrophyllodes,45149,69176,Cladonia macrophyllodes,Nyl.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,krittskjell,,,2607617
318,Cladonia phyllophora,svartfotlav,2,Cladonia phyllophora,45201,69228,Cladonia phyllophora,Hoffm.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,svartfotlav,,,2607575
319,Cladonia portentosa,kystreinlav,1,Cladonia portentosa,45213,69240,Cladonia portentosa,(Dufour) Coem.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,kystreinlav,,,3390030
320,Cladonia pyxidata,kornbrunbeger,3,Cladonia pyxidata,45232,69259,Cladonia pyxidata,(L.) Hoffm.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,kornbrunbeger,,,2607695
321,Cladonia rangiferina,grå reinlav,34,Cladonia rangiferina,209539,69261,Cladonia rangiferina,(L.) F. H. Wigg.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,grå reinlav,,,2607708
322,Cladonia rangiformis,tuegaffel,2,Cladonia rangiformis,209534,69265,Cladonia rangiformis,Hoffm.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,tuegaffel,,,7246697
323,Cladonia squamosa,fnaslav,2,Cladonia squamosa,105495,69294,Cladonia squamosa,Hoffm.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,fnaslav,,,7411883
324,Cladonia stellaris,kvitkrull,22,Cladonia stellaris,145124,69297,Cladonia stellaris,(Opiz) Pouzar & Vezda,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,kvitkrull,,,2607712
325,Cladonia strepsilis,polsterlav,1,Cladonia strepsilis,45274,69301,Cladonia strepsilis,(Ach.) Grognot,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,polsterlav,,,7903868
326,Cladonia subcervicornis,kystpute,2,Cladonia subcervicornis,45279,69306,Cladonia subcervicornis,(Vainio) Kernst.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,kystpute,,,2607644
327,Cladonia subfurcata,fjellgaffellav,4,Cladonia subfurcata,45286,69313,Cladonia subfurcata,(Nyl.) Arnold,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,fjellgaffellav,,,3391629
328,Cladonia uncialis,pigglav,18,Cladonia uncialis,104587,69348,Cladonia uncialis,(L.) Wigg.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,pigglav,,,11103124
329,Clevea hyalina,navlemose,1,Clevea hyalina,186992,193816,Clevea hyalina,(Sommerf.) Lindb.,species,,,Moser,Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Cleveaceae,Clevea,,,,Plantae Marchantiophyta Marchantiopsida Marchantiales Cleveaceae Clevea,navlemose,navlemose,,5710061
330,Climacium dendroides,palmemose,6,Climacium dendroides,184349,104620,Climacium dendroides,(Hedw.) F.Weber & D.Mohr,species,,,Moser,Plantae,Bryophyta,Bryopsida,Hypnales,Climaciaceae,Climacium,,,,Plantae Bryophyta Bryopsida Hypnales Climaciaceae Climacium,palmemose,palmemose,,2678415
331,Clinopodium vulgare,kransmynte,7,Clinopodium vulgare,131882,102280,Clinopodium vulgare,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Lamiales,Lamiaceae,Clinopodium,,,,Plantae Magnoliophyta Eudicots Lamiales Lamiaceae Clinopodium,kransmynte,kransmynte,,2926945
332,Clitopaxillus alexandri,sørlig pluggtraktsopp,1,Clitopaxillus alexandri,147880,174047,Clitopaxillus alexandri,"(Gillet) G. Moreno, Vizzini, Consiglio & P. Alvarado",species,,,Sopp,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pseudoclitocybaceae,Clitopaxillus,,,,Fungi Basidiomycota Agaricomycotina Agaricomycetes Agaricomycetidae Agaricales Pseudoclitocybaceae Clitopaxillus,sørlig pluggtraktsopp,sørleg pluggtrektsopp,,10673235
333,Cochlearia officinalis,skjørbuksurt,8,Cochlearia officinalis,209246,101161,Cochlearia officinalis,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Cochlearia,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Cochlearia,skjørbuksurt,skjørbuksurt,,5373276
334,Collema flaccidum,skjellglye,2,Collema flaccidum,53947,77974,Collema flaccidum,(Ach.) Ach.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Peltigerales,Collemataceae,Collema,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Peltigerales Collemataceae Collema,skjellglye,,,5260557
335,Cololejeunea calcarea,spindelmose,1,Cololejeunea calcarea,184187,105240,Cololejeunea calcarea,(Lib.) Schiffn.,species,,,Moser,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Lejeuneaceae,Cololejeunea,,,,Plantae Marchantiophyta Jungermanniopsida Porellales Lejeuneaceae Cololejeunea,spindelmose,spindelmose,,7608669
336,Comarum palustre,myrhatt,8,Comarum palustre,131930,103267,Comarum palustre,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Comarum,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Comarum,myrhatt,myrhatt,,3020532
337,Comastoma tenellum,småsøte,1,Comastoma tenellum,131933,102176,Comastoma tenellum,(Rottb.) Toyok.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Gentianales,Gentianaceae,Comastoma,,,,Plantae Magnoliophyta Eudicots Gentianales Gentianaceae Comastoma,småsøte,småsøte,,3840575
338,Conocephalum salebrosum,bergkrokodillemose,1,Conocephalum salebrosum,65399,105439,Conocephalum salebrosum,"Szweykowski, Buczkowska & Odrzykoski",species,,,Moser,Plantae,Marchantiophyta,Marchantiopsida,Marchantiales,Conocephalaceae,Conocephalum,,,,Plantae Marchantiophyta Marchantiopsida Marchantiales Conocephalaceae Conocephalum,bergkrokodillemose,bergkrokodillemose,,2688561
339,Conostomum tetragonum,hjelmmose,6,Conostomum tetragonum,185156,104013,Conostomum tetragonum,(Hedw.) Lindb.,species,,,Moser,Plantae,Bryophyta,Bryopsida,Bartramiales,Bartramiaceae,Conostomum,,,,Plantae Bryophyta Bryopsida Bartramiales Bartramiaceae Conostomum,hjelmmose,hjelmmose,,2676061
340,Convallaria majalis,liljekonvall,16,Convallaria majalis,59512,99552,Convallaria majalis,L.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Asparagales,Asparagaceae,Convallaria,,,,Plantae Magnoliophyta Monocots Asparagales Asparagaceae Convallaria,liljekonvall,liljekonvall,,7459480
341,Corallorhiza trifida,korallrot,2,Corallorhiza trifida,131984,99493,Corallorhiza trifida,Châtel.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Corallorhiza,,,,Plantae Magnoliophyta Monocots Asparagales Orchidaceae Corallorhiza,korallrot,korallrot,,2797313
342,Cornicularia normoerica,nordmørslav,1,Cornicularia normoerica,104592,71669,Cornicularia normoerica,(Gunn.) Du Rietz,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cornicularia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Cornicularia,nordmørslav,,,5261206
343,Cortinarius cupreorufus,kopperrød slørsopp,1,Cortinarius cupreorufus,90011,52670,Cortinarius cupreorufus,Brandrud,species,,,Sopp,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,,,,Fungi Basidiomycota Agaricomycotina Agaricomycetes Agaricomycetidae Agaricales Cortinariaceae Cortinarius,kopperrød slørsopp,koparraud slørsopp,,2529264
344,Corydalis intermedia,lerkespore,3,Corydalis intermedia,131995,103013,Corydalis intermedia,(L.) Mérat,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Ranunculales,Papaveraceae,Corydalis,,,,Plantae Magnoliophyta Eudicots Ranunculales Papaveraceae Corydalis,lerkespore,lerkespore,,5531229
345,Corydalis solida,hagelerkespore,1,Corydalis solida,132004,103017,Corydalis solida,(L.) Clairv.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Ranunculales,Papaveraceae,Corydalis,,,,Plantae Magnoliophyta Eudicots Ranunculales Papaveraceae Corydalis,hagelerkespore,hagelerkespore,,5334208
346,Corylus avellana,hassel,5,Corylus avellana,62110,102150,Corylus avellana,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Fagales,Betulaceae,Corylus,,,,Plantae Magnoliophyta Eudicots Fagales Betulaceae Corylus,hassel,hassel,,2875979
347,Cotoneaster niger,svartmispel,1,Cotoneaster niger,209247,103282,Cotoneaster niger,(Wahlb.) Fr.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Cotoneaster,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Cotoneaster,svartmispel,svartmispel,,3025673
348,Cotoneaster scandinavicus,dvergmispel,7,Cotoneaster scandinavicus,202605,125735,Cotoneaster scandinavicus,B.Hylmö,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Cotoneaster,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Cotoneaster,dvergmispel,dvergmispel,,3026293
349,Crambe maritima,strandkål,2,Crambe maritima,61134,101174,Crambe maritima,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Crambe,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Crambe,strandkål,strandkål,,5373533
350,Crassula aquatica,firling,1,Crassula aquatica,132042,103579,Crassula aquatica,(L.) Schönland,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Saxifragales,Crassulaceae,Crassula,,,,Plantae Magnoliophyta Eudicots Saxifragales Crassulaceae Crassula,firling,firling,,7565449
351,Cratoneuron filicinum,kalkmose,2,Cratoneuron filicinum,187546,104481,Cratoneuron filicinum,(Hedw.) Spruce,species,,,Moser,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Cratoneuron,,,,Plantae Bryophyta Bryopsida Hypnales Amblystegiaceae Cratoneuron,kalkmose,kalkmose,,2673131
352,Crepis paludosa,sumphaukeskjegg,9,Crepis paludosa,132068,100540,Crepis paludosa,(L.) Moench,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Crepis,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Crepis,sumphaukeskjegg,sumphaukeskjegg,,5403296
353,Crepis tectorum,takhaukeskjegg,1,Crepis tectorum,60504,100544,Crepis tectorum,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Crepis,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Crepis,takhaukeskjegg,takhaukeskjegg,,5403508
354,Cryptogramma crispa,hestespreng,1,Cryptogramma crispa,132095,103872,Cryptogramma crispa,(L.) R.Br. ex Hook.,species,,,Karplanter,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Pteridaceae,Cryptogramma,,,,Plantae Pteridophyta Polypodiopsida Polypodiales Pteridaceae Cryptogramma,hestespreng,hestespreng,,8386948
355,Ctenidium molluscum,kammose,3,Ctenidium molluscum,187565,104665,Ctenidium molluscum,(Hedw.) Mitt.,species,,,Moser,Plantae,Bryophyta,Bryopsida,Hypnales,Myuriaceae,Ctenidium,,,,Plantae Bryophyta Bryopsida Hypnales Myuriaceae Ctenidium,kammose,kammose,,2682534
356,Cypripedium calceolus,marisko,3,Cypripedium calceolus,59455,99495,Cypripedium calceolus,L.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Cypripedium,,,,Plantae Magnoliophyta Monocots Asparagales Orchidaceae Cypripedium,marisko,marisko,,2820517
357,Cystopteris fragilis,skjørlok,1,Cystopteris fragilis,144339,103928,Cystopteris fragilis,(L.) Bernh.,species,,,Karplanter,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris,,,,Plantae Pteridophyta Polypodiopsida Polypodiales Cystopteridaceae Cystopteris,skjørlok,skjørlok,,2650818
358,Cystopteris montana,fjell-lok,1,Cystopteris montana,132137,103929,Cystopteris montana,(Lam.) Bernh. ex Desv.,species,,,Karplanter,Plantae,Pteridophyta,Polypodiopsida,Polypodiales,Cystopteridaceae,Cystopteris,,,,Plantae Pteridophyta Polypodiopsida Polypodiales Cystopteridaceae Cystopteris,fjell-lok,fjell-lok,,2650808
359,Dactylina ramulosa,fingerlav,2,Dactylina ramulosa,47648,71675,Dactylina ramulosa,(Hook.) Tuck.,species,,,Lav,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Dactylina,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Dactylina,fingerlav,,,5472694
360,Dactylis glomerata,hundegras,16,Dactylis glomerata,145000,99983,Dactylis glomerata,L.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Dactylis,,,,Plantae Magnoliophyta Monocots Poales Poaceae Dactylis,hundegras,hundegras,,2705308
361,Dactylorhiza incarnata,engmarihand,3,Dactylorhiza incarnata,144590,99499,Dactylorhiza incarnata,(L.) Soó,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Dactylorhiza,,,,Plantae Magnoliophyta Monocots Asparagales Orchidaceae Dactylorhiza,engmarihand,engmarihand,,8248593
362,Dactylorhiza maculata fuchsii,skogmarihand,3,Dactylorhiza maculata fuchsii,132185,143584,Dactylorhiza maculata fuchsii,(Druce) Hyl.,subspecies,,,Karplanter,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Dactylorhiza,,,,Plantae Magnoliophyta Monocots Asparagales Orchidaceae Dactylorhiza Dactylorhiza maculata,skogmarihand,skogmarihand,,2810689
363,Dactylorhiza maculata maculata,flekkmarihand,4,Dactylorhiza maculata maculata,132188,143585,Dactylorhiza maculata maculata,,subspecies,,,Karplanter,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Dactylorhiza,,,,Plantae Magnoliophyta Monocots Asparagales Orchidaceae Dactylorhiza Dactylorhiza maculata,flekkmarihand,flekkmarihand,,7227967
364,Dactylorhiza majalis lapponica,lappmarihand,1,Dactylorhiza majalis lapponica,132206,143586,Dactylorhiza majalis lapponica,(Laest. ex Hartm.) H.Sund.,subspecies,,,Karplanter,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Dactylorhiza,,,,Plantae Magnoliophyta Monocots Asparagales Orchidaceae Dactylorhiza Dactylorhiza majalis,lappmarihand,lappmarihand,,2810731
365,Dactylorhiza viridis,grønnkurle,10,Dactylorhiza viridis,131907,156340,Dactylorhiza viridis,"(L.) R.M.Bateman, Pridgeon & M.W.Chase",species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Dactylorhiza,,,,Plantae Magnoliophyta Monocots Asparagales Orchidaceae Dactylorhiza,grønnkurle,grønkurle,,2810284
366,Danthonia decumbens,knegras,1,Danthonia decumbens,132230,99986,Danthonia decumbens,(L.) DC.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Danthonia,,,,Plantae Magnoliophyta Monocots Poales Poaceae Danthonia,knegras,knegras,,2703250
367,Daphne mezereum,tysbast,5,Daphne mezereum,62716,102756,Daphne mezereum,L.,species,,,Karplanter,Plantae,Magnoliophyta,Eudicots,Malvales,Thymelaeaceae,Daphne,,,,Plantae Magnoliophyta Eudicots Malvales Thymelaeaceae Daphne,tysbast,tysbast,,5420852
368,Dermatocarpon miniatum,glatt lærlav,1,Dermatocarpon miniatum,189976,81980,Dermatocarpon miniatum,(L.) Mann,species,,,Lav,Fungi,Ascomycota,Eurotiomycetes,Verrucariales,Verrucariaceae,Dermatocarpon,,,,Fungi Ascomycota Pezizomycotina Eurotiomycetes Verrucariales Verrucariaceae Dermatocarpon,glatt lærlav,,,10859214
369,Deschampsia alpina,fjellbunke,16,Deschampsia alpina,132256,99988,Deschampsia alpina,(L.) Roem. & Schult.,species,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Deschampsia,,,,Plantae Magnoliophyta Monocots Poales Poaceae Deschampsia,fjellbunke,fjellbunke,,4144915
370,Deschampsia cespitosa cespitosa,sølvbunke,47,Deschampsia cespitosa cespitosa,132272,99990,Deschampsia cespitosa cespitosa,,subspecies,,,Karplanter,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Deschampsia,,,,Plantae Magnoliophyta Monocots Poales Poaceae Deschampsia Deschampsia cespitosa,sølvbunke,sølvbunke,,7226886
